Statistical profiling result from isolate-0x104000c00-v8.log, (237491 ticks, 256 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      3    0.0%    0.0%  LazyCompile: ~from buffer.js:200:28
      3    0.0%    0.0%  LazyCompile: ~addChunk _stream_readable.js:280:18
      3    0.0%    0.0%  Builtin: KeyedLoadIC_Megamorphic
      3    0.0%    0.0%  Builtin: CallFunction_ReceiverIsNullOrUndefined
      3    0.0%    0.0%  Builtin: ArgumentsAdaptorTrampoline
      2    0.0%    0.0%  Stub: CallApiCallbackStub
      2    0.0%    0.0%  LazyCompile: ~writeOrBuffer _stream_writable.js:360:23
      2    0.0%    0.0%  LazyCompile: ~readableAddChunk _stream_readable.js:227:26
      2    0.0%    0.0%  LazyCompile: ~howMuchToRead _stream_readable.js:346:23
      2    0.0%    0.0%  LazyCompile: ~fromObject buffer.js:405:20
      2    0.0%    0.0%  LazyCompile: ~consume internal/streams/buffer_list.js:77:10
      2    0.0%    0.0%  LazyCompile: ~clearBuffer _stream_writable.js:495:21
      2    0.0%    0.0%  LazyCompile: ~_typeof /Users/burtol86/lisa-workspace/libz7/lib/serialize-packet-to-binary.js:12:126
      2    0.0%    0.0%  LazyCompile: *createUnsafeBuffer buffer.js:112:28
      2    0.0%    0.0%  LazyCompile: *_typeof /Users/burtol86/lisa-workspace/libz7/lib/serialize-packet-to-binary.js:12:126
      2    0.0%    0.0%  Builtin: KeyedLoadIC
      2    0.0%    0.0%  Builtin: JSBuiltinsConstructStub
      2    0.0%    0.0%  Builtin: CallFunction_ReceiverIsAny
      1    0.0%    0.0%  Stub: StoreFastElementStub
      1    0.0%    0.0%  Stub: CallApiCallbackStub {2}
      1    0.0%    0.0%  Stub: ArrayConstructorStub
      1    0.0%    0.0%  RegExp: ^xterm-256
      1    0.0%    0.0%  LazyCompile: ~slide /Users/burtol86/lisa-workspace/libz7/lib/sliding-window.js:50:26
      1    0.0%    0.0%  LazyCompile: ~prefixFieldExists /Users/burtol86/lisa-workspace/libz7/lib/serialize-packet-to-binary.js:18:51
      1    0.0%    0.0%  LazyCompile: ~normalizeString path.js:57:25
      1    0.0%    0.0%  LazyCompile: ~nextTick internal/process/next_tick.js:96:20
      1    0.0%    0.0%  LazyCompile: ~maybeReadMore _stream_readable.js:557:23
      1    0.0%    0.0%  LazyCompile: ~invalidInput /Users/burtol86/lisa-workspace/libz7/lib/serialize-packet-to-binary.js:26:41
      1    0.0%    0.0%  LazyCompile: ~flow _stream_readable.js:919:14
      1    0.0%    0.0%  LazyCompile: ~findNextLargestToken /Users/burtol86/lisa-workspace/libz7/lib/locate-token.js:27:57
      1    0.0%    0.0%  LazyCompile: ~emit events.js:140:44
      1    0.0%    0.0%  LazyCompile: ~debug util.js:320:35
      1    0.0%    0.0%  LazyCompile: ~concat buffer.js:456:32
      1    0.0%    0.0%  LazyCompile: ~computeMatch /Users/burtol86/lisa-workspace/libz7/lib/locate-token.js:22:41
      1    0.0%    0.0%  LazyCompile: ~chunkInvalid _stream_readable.js:298:22
      1    0.0%    0.0%  LazyCompile: ~arrayClone events.js:469:20
      1    0.0%    0.0%  LazyCompile: ~afterWriteDispatched internal/stream_base_commons.js:76:30
      1    0.0%    0.0%  LazyCompile: ~Readable.push _stream_readable.js:202:35
      1    0.0%    0.0%  LazyCompile: ~Module._resolveFilename internal/modules/cjs/loader.js:547:35
      1    0.0%    0.0%  LazyCompile: *writeOrBuffer _stream_writable.js:360:23
      1    0.0%    0.0%  LazyCompile: *getPossibleTokens /Users/burtol86/lisa-workspace/libz7/lib/locate-token.js:12:51
      1    0.0%    0.0%  LazyCompile: *emit events.js:140:44
      1    0.0%    0.0%  LazyCompile: *clearBuffer _stream_writable.js:495:21
      1    0.0%    0.0%  LazyCompile: *arrayClone events.js:469:20
      1    0.0%    0.0%  Builtin: Typeof
      1    0.0%    0.0%  Builtin: ParseInt
      1    0.0%    0.0%  Builtin: ObjectPrototypeValueOf
      1    0.0%    0.0%  Builtin: Modulus
      1    0.0%    0.0%  Builtin: KeyedStoreIC
      1    0.0%    0.0%  Builtin: JSConstructStubGeneric
      1    0.0%    0.0%  Builtin: GrowFastSmiOrObjectElements
      1    0.0%    0.0%  Builtin: FunctionPrototypeCall
      1    0.0%    0.0%  Builtin: Equal
      1    0.0%    0.0%  Builtin: ConstructVarargs
      1    0.0%    0.0%  Builtin: Construct {1}

 [C++]:
   ticks  total  nonlib   name
   8063    3.4%    3.4%  t _hex
   1557    0.7%    0.7%  t v8::internal::Builtin_Impl_ArrayUnshift(v8::internal::BuiltinArguments, v8::internal::Isolate*)
    717    0.3%    0.3%  T v8::internal::JSTypedArray::GetBuffer()
    647    0.3%    0.3%  T v8::internal::Heap::MoveElements(v8::internal::FixedArray*, int, int, int, v8::internal::WriteBarrierMode)
    620    0.3%    0.3%  t v8::internal::(anonymous namespace)::CopyObjectToObjectElements(v8::internal::FixedArrayBase*, v8::internal::ElementsKind, unsigned int, v8::internal::FixedArrayBase*, v8::internal::ElementsKind, unsigned int, int)
    590    0.2%    0.2%  T __simple_dprintf
    548    0.2%    0.2%  t v8::internal::(anonymous namespace)::FastElementsAccessor<v8::internal::(anonymous namespace)::FastPackedObjectElementsAccessor, v8::internal::(anonymous namespace)::ElementsKindTraits<(v8::internal::ElementsKind)2> >::CopyArguments(v8::internal::Arguments*, v8::internal::Handle<v8::internal::FixedArrayBase>, unsigned int, unsigned int, unsigned int)
    490    0.2%    0.2%  t v8::internal::(anonymous namespace)::FastElementsAccessor<v8::internal::(anonymous namespace)::FastPackedObjectElementsAccessor, v8::internal::(anonymous namespace)::ElementsKindTraits<(v8::internal::ElementsKind)2> >::AddArguments(v8::internal::Handle<v8::internal::JSArray>, v8::internal::Handle<v8::internal::FixedArrayBase>, v8::internal::Arguments*, unsigned int, v8::internal::(anonymous namespace)::Where)
    367    0.2%    0.2%  t v8::internal::Builtin_Impl_TypedArrayPrototypeBuffer(v8::internal::BuiltinArguments, v8::internal::Isolate*)
    327    0.1%    0.1%  t v8::internal::(anonymous namespace)::ElementsAccessorBase<v8::internal::(anonymous namespace)::FastPackedObjectElementsAccessor, v8::internal::(anonymous namespace)::ElementsKindTraits<(v8::internal::ElementsKind)2> >::Unshift(v8::internal::Handle<v8::internal::JSArray>, v8::internal::Arguments*, unsigned int)
    315    0.1%    0.1%  t v8::internal::(anonymous namespace)::FastElementsAccessor<v8::internal::(anonymous namespace)::FastPackedObjectElementsAccessor, v8::internal::(anonymous namespace)::ElementsKindTraits<(v8::internal::ElementsKind)2> >::MoveElements(v8::internal::Isolate*, v8::internal::Handle<v8::internal::JSArray>, v8::internal::Handle<v8::internal::FixedArrayBase>, int, int, int, int, int)
    304    0.1%    0.1%  T _posix_madvise
    204    0.1%    0.1%  T v8::internal::JSArray::HasReadOnlyLength(v8::internal::Handle<v8::internal::JSArray>)
    197    0.1%    0.1%  T ___psynch_cvwait
    191    0.1%    0.1%  T v8::internal::Factory::NewFixedArrayWithFiller(v8::internal::Heap::RootListIndex, int, v8::internal::Object*, v8::internal::PretenureFlag)
    182    0.1%    0.1%  T v8::internal::Isolate::IsAnyInitialArrayPrototype(v8::internal::Handle<v8::internal::JSArray>)
    165    0.1%    0.1%  t v8::internal::Scavenger::ScavengeObject(v8::internal::HeapObjectReference**, v8::internal::HeapObject*)
    134    0.1%    0.1%  T ___psynch_mutexwait
    118    0.0%    0.0%  T v8::internal::JSObject::GetElementsAccessor()
     98    0.0%    0.0%  T v8::internal::Builtin_TypedArrayPrototypeBuffer(int, v8::internal::Object**, v8::internal::Isolate*)
     95    0.0%    0.0%  T v8::internal::IncrementalMarking::Step(unsigned long, v8::internal::IncrementalMarking::CompletionAction, v8::internal::StepOrigin, v8::internal::WorklistToProcess)
     72    0.0%    0.0%  T v8::internal::Builtin_ArrayUnshift(int, v8::internal::Object**, v8::internal::Isolate*)
     68    0.0%    0.0%  T _syscall_thread_switch
     66    0.0%    0.0%  T _mprotect
     62    0.0%    0.0%  T __simple_putline
     43    0.0%    0.0%  T _semaphore_wait_trap
     40    0.0%    0.0%  T v8::internal::Heap::Scavenge()
     28    0.0%    0.0%  T v8::internal::Bitmap::Clear()
     27    0.0%    0.0%  t v8::internal::Heap::AllocateRaw(int, v8::internal::AllocationSpace, v8::internal::AllocationAlignment)
     24    0.0%    0.0%  t __malloc_initialize
     24    0.0%    0.0%  T node::contextify::ContextifyScript::New(v8::FunctionCallbackInfo<v8::Value> const&)
     23    0.0%    0.0%  t v8::internal::PagedSpace::Available()
     21    0.0%    0.0%  T v8::internal::Scavenger::Process(v8::internal::OneshotBarrier*)
     21    0.0%    0.0%  T v8::ArrayBuffer::GetContents()
     21    0.0%    0.0%  T ___psynch_mutexdrop
     20    0.0%    0.0%  T v8::internal::Scavenger::ScavengePage(v8::internal::MemoryChunk*)
     17    0.0%    0.0%  t _szone_malloc_should_clear
     16    0.0%    0.0%  T ___psynch_cvsignal
     15    0.0%    0.0%  t v8::internal::Worklist<v8::internal::HeapObject*, 64>::Pop(int, v8::internal::HeapObject**)
     15    0.0%    0.0%  t v8::internal::HeapObject::SizeFromMap(v8::internal::Map*) const
     15    0.0%    0.0%  t _tiny_malloc_from_free_list
     15    0.0%    0.0%  T v8::internal::SerializerDeserializer::Iterate(v8::internal::Isolate*, v8::internal::RootVisitor*)
     15    0.0%    0.0%  T v8::internal::Map::FindRootMap() const
     15    0.0%    0.0%  T v8::internal::IncrementalMarking::WhiteToGreyAndPush(v8::internal::HeapObject*)
     12    0.0%    0.0%  t node::Buffer::(anonymous namespace)::Copy(v8::FunctionCallbackInfo<v8::Value> const&)
     12    0.0%    0.0%  T v8::internal::SemiSpace::Swap(v8::internal::SemiSpace*, v8::internal::SemiSpace*)
     11    0.0%    0.0%  t std::__1::__hash_table<std::__1::__hash_value_type<v8::internal::JSArrayBuffer*, unsigned long>, std::__1::__unordered_map_hasher<v8::internal::JSArrayBuffer*, std::__1::__hash_value_type<v8::internal::JSArrayBuffer*, unsigned long>, v8::internal::LocalArrayBufferTracker::Hasher, true>, std::__1::__unordered_map_equal<v8::internal::JSArrayBuffer*, std::__1::__hash_value_type<v8::internal::JSArrayBuffer*, unsigned long>, std::__1::equal_to<v8::internal::JSArrayBuffer*>, true>, std::__1::allocator<std::__1::__hash_value_type<v8::internal::JSArrayBuffer*, unsigned long> > >::__node_insert_unique(std::__1::__hash_node<std::__1::__hash_value_type<v8::internal::JSArrayBuffer*, unsigned long>, void*>*)
     10    0.0%    0.0%  t v8::internal::LocalAllocator::AllocateInLAB(int, v8::internal::AllocationAlignment)
     10    0.0%    0.0%  t __enlarge
     10    0.0%    0.0%  T v8::internal::RootScavengeVisitor::VisitRootPointer(v8::internal::Root, char const*, v8::internal::Object**)
     10    0.0%    0.0%  T _write$NOCANCEL
      9    0.0%    0.0%  T v8::internal::Heap::CreateFillerObjectAt(unsigned long, int, v8::internal::ClearRecordedSlots, v8::internal::ClearFreedMemoryMode)
      8    0.0%    0.0%  T v8::internal::Sweeper::RawSweep(v8::internal::Page*, v8::internal::Sweeper::FreeListRebuildingMode, v8::internal::FreeSpaceTreatmentMode)
      8    0.0%    0.0%  T v8::internal::NewSpace::AddFreshPage()
      8    0.0%    0.0%  T v8::internal::Heap::GetFillToAlign(unsigned long, v8::internal::AllocationAlignment)
      8    0.0%    0.0%  T v8::internal::GCTracer::Start(v8::internal::GarbageCollector, v8::internal::GarbageCollectionReason, char const*)
      7    0.0%    0.0%  t v8::internal::Worklist<std::__1::pair<v8::internal::HeapObject*, int>, 256>::Pop(int, std::__1::pair<v8::internal::HeapObject*, int>*)
      7    0.0%    0.0%  t v8::internal::PrototypeIterator::HasAccess() const
      7    0.0%    0.0%  t v8::internal::InternalizedStringTableCleaner::VisitPointers(v8::internal::HeapObject*, v8::internal::Object**, v8::internal::Object**)
      7    0.0%    0.0%  T v8::internal::ArrayBufferTracker::ProcessBuffers(v8::internal::Page*, v8::internal::ArrayBufferTracker::ProcessingMode)
      6    0.0%    0.0%  t node::(anonymous namespace)::IsAnyArrayBuffer(v8::FunctionCallbackInfo<v8::Value> const&)
      6    0.0%    0.0%  T v8::internal::compiler::GraphReducer::ReduceTop()
      6    0.0%    0.0%  T v8::internal::ConcurrentMarking::ClearLiveness(v8::internal::MemoryChunk*)
      6    0.0%    0.0%  T v8::Value::IsExternal() const
      6    0.0%    0.0%  T node::NodePlatform::MonotonicallyIncreasingTime()
      6    0.0%    0.0%  T _semaphore_signal_trap
      6    0.0%    0.0%  T ___mach_stack_logging_enumerate_records
      5    0.0%    0.0%  t v8::internal::FixStaleLeftTrimmedHandlesVisitor::VisitRootPointers(v8::internal::Root, char const*, v8::internal::Object**, v8::internal::Object**)
      5    0.0%    0.0%  t node::fs::WriteBuffers(v8::FunctionCallbackInfo<v8::Value> const&)
      5    0.0%    0.0%  t _update_cache_for_file_streams
      5    0.0%    0.0%  T v8::internal::NewSpace::UpdateInlineAllocationLimit(unsigned long)
      5    0.0%    0.0%  T v8::internal::MemoryChunk::Initialize(v8::internal::Heap*, unsigned long, unsigned long, unsigned long, unsigned long, v8::internal::Executability, v8::internal::Space*, v8::internal::VirtualMemory*)
      5    0.0%    0.0%  T v8::Value::IsArrayBuffer() const
      5    0.0%    0.0%  T __kernelrpc_mach_vm_map_trap
      5    0.0%    0.0%  T ___psynch_cvbroad
      4    0.0%    0.0%  t void v8::internal::Map::BodyDescriptor::IterateBody<v8::internal::MarkingVisitor<(v8::internal::FixedArrayVisitationMode)1, (v8::internal::TraceRetainingPathMode)1, v8::internal::IncrementalMarkingState> >(v8::internal::Map*, v8::internal::HeapObject*, int, v8::internal::MarkingVisitor<(v8::internal::FixedArrayVisitationMode)1, (v8::internal::TraceRetainingPathMode)1, v8::internal::IncrementalMarkingState>*)
      4    0.0%    0.0%  t void v8::internal::BodyDescriptorBase::IterateBodyImpl<v8::internal::MarkingVisitor<(v8::internal::FixedArrayVisitationMode)1, (v8::internal::TraceRetainingPathMode)1, v8::internal::IncrementalMarkingState> >(v8::internal::Map*, v8::internal::HeapObject*, int, int, v8::internal::MarkingVisitor<(v8::internal::FixedArrayVisitationMode)1, (v8::internal::TraceRetainingPathMode)1, v8::internal::IncrementalMarkingState>*)
      4    0.0%    0.0%  t v8::internal::PrototypeIterator::AdvanceFollowingProxiesIgnoringAccessChecks()
      4    0.0%    0.0%  t v8::internal::MarkingVisitor<(v8::internal::FixedArrayVisitationMode)1, (v8::internal::TraceRetainingPathMode)1, v8::internal::IncrementalMarkingState>::VisitCodeTarget(v8::internal::Code*, v8::internal::RelocInfo*)
      4    0.0%    0.0%  t v8::internal::MarkCompactCollector::RootMarkingVisitor::VisitRootPointer(v8::internal::Root, char const*, v8::internal::Object**)
      4    0.0%    0.0%  t v8::internal::IdleScavengeObserver::Step(int, unsigned long, unsigned long)
      4    0.0%    0.0%  t node::GetBinding(v8::FunctionCallbackInfo<v8::Value> const&)
      4    0.0%    0.0%  t _szone_pressure_relief
      4    0.0%    0.0%  T v8::internal::compiler::GraphTrimmer::TrimGraph()
      4    0.0%    0.0%  T v8::internal::RelocIterator::next()
      4    0.0%    0.0%  T v8::internal::NewSpace::EnsureAllocation(int, v8::internal::AllocationAlignment)
      4    0.0%    0.0%  T v8::internal::Heap::AllocateRawWithRetryOrFail(int, v8::internal::AllocationSpace, v8::internal::AllocationAlignment)
      4    0.0%    0.0%  T v8::Value::IsArrayBufferView() const
      4    0.0%    0.0%  T node::TTYWrap::New(v8::FunctionCallbackInfo<v8::Value> const&)
      4    0.0%    0.0%  T _free
      4    0.0%    0.0%  T ___pthread_sigmask
      3    0.0%    0.0%  t void v8::internal::BodyDescriptorBase::IterateBodyImpl<v8::internal::IterateAndScavengePromotedObjectsVisitor>(v8::internal::Map*, v8::internal::HeapObject*, int, int, v8::internal::IterateAndScavengePromotedObjectsVisitor*)
      3    0.0%    0.0%  t v8::internal::ScavengingTask::RunInParallel()
      3    0.0%    0.0%  t std::__1::deque<std::__1::unique_ptr<v8::Task, std::__1::default_delete<v8::Task> >, std::__1::allocator<std::__1::unique_ptr<v8::Task, std::__1::default_delete<v8::Task> > > >::push_back(std::__1::unique_ptr<v8::Task, std::__1::default_delete<v8::Task> >&&)
      3    0.0%    0.0%  t _uv__hrtime
      3    0.0%    0.0%  t _small_free_list_remove_ptr_no_clear
      3    0.0%    0.0%  t _allocate_pages
      3    0.0%    0.0%  T v8::internal::ScavengeJob::ScheduleIdleTaskIfNeeded(v8::internal::Heap*, int)
      3    0.0%    0.0%  T v8::internal::RootScavengeVisitor::VisitRootPointers(v8::internal::Root, char const*, v8::internal::Object**, v8::internal::Object**)
      3    0.0%    0.0%  T v8::internal::PagedSpace::FreeLinearAllocationArea()
      3    0.0%    0.0%  T v8::internal::Heap::PerformGarbageCollection(v8::internal::GarbageCollector, v8::GCCallbackFlags)
      3    0.0%    0.0%  T v8::internal::AllocationObserver::AllocationStep(int, unsigned long, unsigned long)
      3    0.0%    0.0%  T v8::base::Semaphore::Wait()
      3    0.0%    0.0%  T v8::base::Mutex::Lock()
      3    0.0%    0.0%  T v8::ArrayBufferView::ByteLength()
      3    0.0%    0.0%  T _mach_absolute_time
      3    0.0%    0.0%  T ___ulock_wake
      3    0.0%    0.0%  T ___munmap
      2    0.0%    0.0%  t void v8::internal::BodyDescriptorBase::IteratePointer<v8::internal::MarkingVisitor<(v8::internal::FixedArrayVisitationMode)1, (v8::internal::TraceRetainingPathMode)1, v8::internal::IncrementalMarkingState> >(v8::internal::HeapObject*, int, v8::internal::MarkingVisitor<(v8::internal::FixedArrayVisitationMode)1, (v8::internal::TraceRetainingPathMode)1, v8::internal::IncrementalMarkingState>*)
      2    0.0%    0.0%  t void v8::internal::BodyDescriptorBase::IterateMaybeWeakPointers<v8::internal::MarkingVisitor<(v8::internal::FixedArrayVisitationMode)1, (v8::internal::TraceRetainingPathMode)1, v8::internal::IncrementalMarkingState> >(v8::internal::HeapObject*, int, int, v8::internal::MarkingVisitor<(v8::internal::FixedArrayVisitationMode)1, (v8::internal::TraceRetainingPathMode)1, v8::internal::IncrementalMarkingState>*)
      2    0.0%    0.0%  t void v8::internal::BodyDescriptorApply<v8::internal::CallIterateBody, void, v8::internal::Map*, v8::internal::HeapObject*, int, v8::internal::IterateAndScavengePromotedObjectsVisitor*>(v8::internal::InstanceType, v8::internal::Map*, v8::internal::HeapObject*, int, v8::internal::IterateAndScavengePromotedObjectsVisitor*)
      2    0.0%    0.0%  t v8::internal::compiler::SourcePositionTable::Decorator::Decorate(v8::internal::compiler::Node*)
      2    0.0%    0.0%  t v8::internal::ParserBase<v8::internal::Parser>::ParseAssignmentExpression(bool, bool*)
      2    0.0%    0.0%  t v8::internal::LookupIterator::State v8::internal::LookupIterator::LookupInRegularHolder<false>(v8::internal::Map*, v8::internal::JSReceiver*)
      2    0.0%    0.0%  t v8::internal::Builtin_Impl_HandleApiCall(v8::internal::BuiltinArguments, v8::internal::Isolate*)
      2    0.0%    0.0%  t char* node::UncheckedRealloc<char>(char*, unsigned long)
      2    0.0%    0.0%  t __cxxabiv1::do_free(void*)
      2    0.0%    0.0%  T v8::internal::compiler::MoveOptimizer::MigrateMoves(v8::internal::compiler::Instruction*, v8::internal::compiler::Instruction*)
      2    0.0%    0.0%  T v8::internal::StackFrameIterator::StackFrameIterator(v8::internal::Isolate*, v8::internal::ThreadLocalTop*)
      2    0.0%    0.0%  T v8::internal::Runtime_AllocateInNewSpace(int, v8::internal::Object**, v8::internal::Isolate*)
      2    0.0%    0.0%  T v8::internal::PagedSpace::PagedSpace(v8::internal::Heap*, v8::internal::AllocationSpace, v8::internal::Executability)
      2    0.0%    0.0%  T v8::internal::MarkCompactCollector::ProcessMarkingWorklist()
      2    0.0%    0.0%  T v8::internal::JSObject::New(v8::internal::Handle<v8::internal::JSFunction>, v8::internal::Handle<v8::internal::JSReceiver>, v8::internal::Handle<v8::internal::AllocationSite>)
      2    0.0%    0.0%  T v8::internal::JSFunction::EnsureHasInitialMap(v8::internal::Handle<v8::internal::JSFunction>)
      2    0.0%    0.0%  T v8::internal::InnerPointerToCodeCache::GetCacheEntry(unsigned long)
      2    0.0%    0.0%  T v8::internal::Histogram::AddSample(int)
      2    0.0%    0.0%  T v8::internal::Heap::ProcessPretenuringFeedback()
      2    0.0%    0.0%  T v8::internal::HandleScopeImplementer::IterateThis(v8::internal::RootVisitor*)
      2    0.0%    0.0%  T v8::internal::Factory::NewUninitializedFixedArray(int, v8::internal::PretenureFlag)
      2    0.0%    0.0%  T v8::internal::Factory::AllocateRawWithAllocationSite(v8::internal::Handle<v8::internal::Map>, v8::internal::PretenureFlag, v8::internal::Handle<v8::internal::AllocationSite>)
      2    0.0%    0.0%  T v8::Value::IsNumber() const
      2    0.0%    0.0%  T v8::Integer::Value() const
      2    0.0%    0.0%  T __simple_put
      2    0.0%    0.0%  T ___ulock_wait
      2    0.0%    0.0%  T ___gdtoa
      1    0.0%    0.0%  t void v8::internal::LiveObjectVisitor::VisitBlackObjectsNoFail<v8::internal::EvacuateNewSpaceVisitor, v8::internal::MajorNonAtomicMarkingState>(v8::internal::MemoryChunk*, v8::internal::MajorNonAtomicMarkingState*, v8::internal::EvacuateNewSpaceVisitor*, v8::internal::LiveObjectVisitor::IterationMode)
      1    0.0%    0.0%  t void v8::internal::BodyDescriptorBase::IterateMaybeWeakPointer<v8::internal::MarkingVisitor<(v8::internal::FixedArrayVisitationMode)1, (v8::internal::TraceRetainingPathMode)1, v8::internal::IncrementalMarkingState> >(v8::internal::HeapObject*, int, v8::internal::MarkingVisitor<(v8::internal::FixedArrayVisitationMode)1, (v8::internal::TraceRetainingPathMode)1, v8::internal::IncrementalMarkingState>*)
      1    0.0%    0.0%  t void std::__1::vector<v8::internal::interpreter::ConstantArrayBuilder::Entry, v8::internal::ZoneAllocator<v8::internal::interpreter::ConstantArrayBuilder::Entry> >::__push_back_slow_path<v8::internal::interpreter::ConstantArrayBuilder::Entry const&>(v8::internal::interpreter::ConstantArrayBuilder::Entry const&&&)
      1    0.0%    0.0%  t void std::__1::vector<v8::internal::compiler::Node*, v8::internal::ZoneAllocator<v8::internal::compiler::Node*> >::__push_back_slow_path<v8::internal::compiler::Node*>(v8::internal::compiler::Node*&&)
      1    0.0%    0.0%  t void std::__1::vector<v8::internal::ItemParallelJob::Item*, std::__1::allocator<v8::internal::ItemParallelJob::Item*> >::__push_back_slow_path<v8::internal::ItemParallelJob::Item* const&>(v8::internal::ItemParallelJob::Item* const&&&)
      1    0.0%    0.0%  t void std::__1::__tree_balance_after_insert<std::__1::__tree_node_base<void*>*>(std::__1::__tree_node_base<void*>*, std::__1::__tree_node_base<void*>*)
      1    0.0%    0.0%  t void std::__1::__init_pat<char>(std::__1::money_base::pattern&, std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> >&, bool, char, char, char, char)
      1    0.0%    0.0%  t v8::internal::compiler::ScheduleLateNodeVisitor::SplitNode(v8::internal::compiler::BasicBlock*, v8::internal::compiler::Node*)
      1    0.0%    0.0%  t v8::internal::compiler::ScheduleEarlyNodeVisitor::Run(v8::internal::ZoneVector<v8::internal::compiler::Node*>*)
      1    0.0%    0.0%  t v8::internal::compiler::RepresentationSelector::VisitFrameState(v8::internal::compiler::Node*)
      1    0.0%    0.0%  t v8::internal::compiler::RepresentationSelector::ProcessRemainingInputs(v8::internal::compiler::Node*, int)
      1    0.0%    0.0%  t v8::internal::compiler::LoopFinderImpl::PropagateForward()
      1    0.0%    0.0%  t v8::internal::compiler::LoopFinderImpl::FinishLoopTree()
      1    0.0%    0.0%  t v8::internal::compiler::JSBinopReduction::NumberOpFromSpeculativeNumberOp()
      1    0.0%    0.0%  t v8::internal::compiler::CFGBuilder::ConnectBranch(v8::internal::compiler::Node*)
      1    0.0%    0.0%  t v8::internal::compiler::(anonymous namespace)::SourcePositionWrapper::Reduce(v8::internal::compiler::Node*)
      1    0.0%    0.0%  t v8::internal::compiler::(anonymous namespace)::SourcePositionWrapper::Finalize()
      1    0.0%    0.0%  t v8::internal::ScavengeVisitor::VisitPointers(v8::internal::HeapObject*, v8::internal::Object**, v8::internal::Object**)
      1    0.0%    0.0%  t v8::internal::PointersUpdatingTask::RunInParallel()
      1    0.0%    0.0%  t v8::internal::ParserBase<v8::internal::PreParser>::ParseMemberExpressionContinuation(v8::internal::PreParserExpression, bool*, bool*)
